ObjectID,Election,County,HASNO,Site Name,Site Address,Zip,New,ED,Latitude,Longitude,x,y
1,General Election 2024 - 11/05/2024,Bronx,X0069,1880 Valentine Ave Community Room,1880 Valentine Avenue,10457,,049/86,40.84904523,-73.9005347,592678.1903,4522581.5155
2,General Election 2024 - 11/05/2024,Bronx,10024,Adult Behavioral Health Center,1500 Waters Place,10461,,037/82,40.84878181,-73.83936253,597835.117,4522618.8026
3,General Election 2024 - 11/05/2024,Bronx,X0021,Baychester Community Center,1220 East 229 Street,10466,,"039/83, 049/83, 051/83, 060/83",40.88447322,-73.84280795,597492.3165,4526577.0715
4,General Election 2024 - 11/05/2024,Bronx,X0150,Betances Community Center,547 East 146 Street,10455,,"030/84, 032/84, 033/84",40.81256691,-73.91454277,591547.5396,4518517.3604
5,General Election 2024 - 11/05/2024,Bronx,X0201,Bronx County Supreme Court House,851 Grand Concourse,10451,,"029/77, 047/77, 010/84, 011/84, 012/84, 013/84, 014/84",40.82614819,-73.92340386,590781.6615,4520015.7867
6,General Election 2024 - 11/05/2024,Bronx,X0216,Bronx House,990 Pelham Parkway South,10461,,018/80,40.8566404,-73.86041046,596049.5114,4523467.8868
7,General Election 2024 - 11/05/2024,Bronx,X0007,Bronx Regional HS,1010 Rev James A Polite Ave.,10459,,"031/79, 032/79, 058/79, 033/85",40.82345893,-73.89876177,592863.3416,4519743.0753
8,General Election 2024 - 11/05/2024,Bronx,X0048,Bronx River Community Center,1619 East 174th Street,10472,,"024/85, 025/85, 026/85",40.83486102,-73.87630965,594740.4494,4521032.8482
9,General Election 2024 - 11/05/2024,Bronx,11939,Bronxchester Houses,520 East 156 Street,10455,,047/79,40.81917188,-73.91106055,591832.126,4519254.2135
10,General Election 2024 - 11/05/2024,Bronx,11927,Butler United Methodist Church,3920 Paulding Avenue,10466,,"025/83, 029/83",40.88350569,-73.85269986,596660.3243,4526458.6933
11,General Election 2024 - 11/05/2024,Bronx,11772,Church of the Abiding Presence,1672 East 172 Street,10472,,"021/85, 022/85",40.83194566,-73.87264161,595053.8789,4520713.1887
12,General Election 2024 - 11/05/2024,Bronx,11766,Classic Community Center,286 East 156 Street,10451,,"044/79, 048/79, 049/79, 050/79, 051/79, 052/79, 059/79",40.82152772,-73.92026541,591052.6289,4519506.1289
13,General Election 2024 - 11/05/2024,Bronx,X0234,Co-op City 2049 Bartow Avenue Community Center,2049 Bartow Avenue,10475,,"054/82, 055/82, 057/82, 076/82",40.87013374,-73.82921716,598658.6413,4525000.4661
14,General Election 2024 - 11/05/2024,Bronx,X0059,Co-op City Dreiser Loop Community Center Auditorium,177 Dreiser Loop,10475,,"058/82, 059/82, 060/82, 061/82, 062/82, 063/82, 064/82, 065/82, 066/82",40.87678617,-73.8295953,598616.9022,4525738.5292
15,General Election 2024 - 11/05/2024,Bronx,X0210,Columbus High School,925 Astor Avenue,10469,,"041/80, 063/80",40.85989962,-73.86032227,596052.2354,4523829.7884
16,General Election 2024 - 11/05/2024,Bronx,X0192,Concourse Village East,777 Concourse Village East,10451,,"053/79, 054/79, 055/79, 056/79",40.82367561,-73.92046996,591032.4418,4519744.3513
17,General Election 2024 - 11/05/2024,Bronx,11676,Earl Monroe Charter School,1617 Parkview Avenue,10461,,029/82,40.84544176,-73.82715468,598869.1556,4522261.733
18,General Election 2024 - 11/05/2024,Bronx,11738,East Bronx Academy,1716 Southern Boulevard,10460,,"024/79, 025/79, 057/79",40.83705387,-73.88771852,593775.4379,4521264.0015
19,General Election 2024 - 11/05/2024,Bronx,10603,Eastchester Community Center,3016 Yates Ave,10469,,"008/83, 009/83, 010/83",40.87020057,-73.8537742,596589.1492,4524980.5021
20,General Election 2024 - 11/05/2024,Bronx,X0014,Edenwald Community Center,1150 East 229 Street,10466,,"050/83, 052/83",40.88593325,-73.84493917,597310.6212,4526736.7777
21,General Election 2024 - 11/05/2024,Bronx,X0219,Co-op City Einstein Community Center 3,135 Einstein Loop,10475,,"049/82, 050/82, 051/82",40.86421826,-73.82211541,599265.9322,4524351.8142
22,General Election 2024 - 11/05/2024,Bronx,11895,Fordham Bedford/Serviam Heights LLC,2848 Bainbridge Avenue,10458,,"012/78, 013/78, 023/78, 024/78, 026/78, 027/78, 054/78 (Combined into 024/78)",40.8689702,-73.88622491,593856.3081,4524808.6239
23,General Election 2024 - 11/05/2024,Bronx,11992,Fordham Hill Oval,1 Fordham Hill Oval,10468,,032/78,40.86387224,-73.90845237,591990.2523,4524219.109
24,General Election 2024 - 11/05/2024,Bronx,11946,Friendly Baptist Church,962 Ogden Avenue,10452,,"001/77, 002/77",40.83205729,-73.92971756,590241.2506,4520665.2286
25,General Election 2024 - 11/05/2024,Bronx,11004,Glebe Avenue Senior Center,2125 Glebe Avenue,10462,,"028/87, 030/87",40.83516186,-73.85060187,596907.5246,4521094.3623
26,General Election 2024 - 11/05/2024,Bronx,X0223,Grace Dodge Vocational HS,2474 Crotona Avenue,10458,,"007/78, 008/78, 011/78, 048/78, 053/78 (Combined into 011/78)",40.85529805,-73.88270324,594172.4455,4523294.6606
27,General Election 2024 - 11/05/2024,Bronx,10859,Gun Hill Community Center,745 Magenta Street,10467,,014/83,40.87520014,-73.86535888,595605.7297,4525522.7889
